Index,Year,Authors,Name,Bibtex,DOI,Instruction & Guidance,Assembly & Arrangement,Problem Solving & Games,Communication & Collaboration,(Tele) Medicine,Maintenance & Industry,Design & Creativity,Education & Knowledge Work,Social & Play,Various & Unspecified,no study,communication,puzzle and assembly,object arrangement and manipulation,locating object in environment,"training, instruction, guiding",information extraction and generation,maintainance,game,walkthrough,general - device limitations,display,ergonomics,tracking,general - scene acquisition & reconstruction,point cloud Level of Detail,point cloud stability,point cloud completeness,3D reconstruction,scale of environment & tracking area,general object recognition & alignment,general - user acquisition & modelling,hand tracking,body tracking,face & gaze tracking,general - system complexity,devices & sensors,computational challenges,heterogeneity & interoperability,scalability,general - latency & real-time presentation,synchronicity,network challenges,general latency,bandwidth issue,performance,general - spatial consistency,calibration & alignment,general - shared & blended environment,dissimilar spaces,virtual content positioning,shared objects,controlling real-world properties,physical & spatial limits,general - spatial awareness & orientation,locating  objects & user,communication about the environment,dynamic changes,general - user representation & techniques,level of detail & accuracy,avatar designs & uncanny valley,general - communication & sensory feedback,(spatial) audio,non-verbal,gestures,facial expressions & eyes,physical props & haptic feedback,general - interpersonal awareness,gaze & view sharing,content & intention sharing,general - cognition & presence,presence,cognitive & mental load,co- & social-presence,accessibility & inclusion,general - asymmetric experiences,content & environment sharing,user representation,awareness on shared personal information,interaction & general capabilities,general - interaction & UI design,adaptive & customizable UI,annotations,workflow,evaluation & studies,domain & use case specific,data privacy & security
161,2021,"Florian Jasche, Jasmin Kirchh{\u}bel, Thomas Ludwig, Peter Tolmie",BeamLite: Diminishing Ecological Fractures of Remote Collaboration through Mixed Reality Environments,"@inproceedings{jasche2021beamlite,
  title = {{{BeamLite}}: {{Diminishing Ecological Fractures}} of {{Remote Collaboration}} through {{Mixed Reality Environments}}},
  booktitle = {Proceedings of the 10th {{International Conference}} on {{Communities}} \&amp; {{Technologies}} - {{Wicked Problems}} in the {{Age}} of {{Tech}}},
  author = {Jasche, Florian and Kirchh{\""u}bel, Jasmin and Ludwig, Thomas and Tolmie, Peter},
  year = {2021},
  series = {C\&amp;{{T}} '21},
  pages = {200--211},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3461564.3461566},
  abstract = {Developing systems to support remote collaboration usually involves creating new environments in which non-co-located participants produce actions that are, at least in part, accessible to one another. However, this typically fractures the relationship between those actions and the sense of a shared environment, engendering difficulties that can render even the simplest of activities problematic. This becomes more pronounced as the activities become more complex and involve physical artifacts. Although mixed reality seems to offer promising ways of overcoming these troubles, there is still a risk of replicating the fractured ecology problem. We report on an empirical study and the development of a mixed reality prototype called BeamLite that seeks to bypass such issues by providing participants with the illusion of them sharing a single familiar place. Although our evaluation revealed possibilities for evading some troubles associated with artifact-focused remote collaboration, it exposed the need for virtual toolboxes that dynamically support specific work practices and the importance of virtual artifacts embedded within the physical environment to further diminish the sense of ecological fracture.},
  isbn = {978-1-4503-9056-9},
  keywords = {Augmented Reality,Mixed Reality,Remote Collaboration,Unfractured Ecologies,Virtual Reality},
  file = {D:\_Zotero\storage\ZFCZJMNE\Jasche et al_2021_BeamLite.pdf}
}",10.1145/3461564.3461566,,,,x,,,x,,,,,x,,,,,,,,,,,,x,,,,,,,,,x,,x,,,,,,,,,,,,,,,x,,x,,,,x,,,x,,x,,x,x,x,x,,,,,,,,x,,x,,,,,,x,,,,x,
162,2021,"Sunny Zhang, Brennan Jones, Sean Rintel, Carman Neustaedter",XRmas: Extended Reality Multi-Agency Spaces for a Magical Remote Christmas,"@inproceedings{zhang2021xrmas,
  title = {{{XRmas}}: {{Extended Reality Multi-Agency Spaces}} for a {{Magical Remote Christmas}}},
  booktitle = {Companion {{Publication}} of the 2021 {{Conference}} on {{Computer Supported Cooperative Work}} and {{Social Computing}}},
  author = {Zhang, Sunny and Jones, Brennan and Rintel, Sean and Neustaedter, Carman},
  year = {2021},
  series = {{{CSCW}} '21 {{Companion}}},
  pages = {203--207},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3462204.3481782},
  abstract = {The COVID-19 pandemic has raised attention toward remote and hybrid communications. Currently, one highly-studied solution lets a remote user use virtual reality (VR) to enter an immersive view of a local space, and local users use augmented reality (AR) to see the remote user's representation and digital contents. Such systems give the remote user a sense of `being there', but we identify two more challenges to address. First, current systems provide remote users with limited agency to control objects and influence the local space. It is necessary to further explore the relationship between users, virtual objects, and physical objects, and how they can play a role in providing richer agency. Second, current systems often try to replicate in-person experiences, but hardly surpass them. We propose XRmas: an AR/VR telepresence system that (1) provides a multi-agency space that allows a remote user to manipulate both virtual and physical objects in a local space, and (2) introduces three family activities in a Christmas context that adopt holographic animation effects to create a `magical' experience that takes users beyond merely the feeling of `being there'. We report on preliminary insights from the use of such a system in a remote family communication context.},
  isbn = {978-1-4503-8479-7},
  file = {D:\_Zotero\storage\VH2MZKGX\Zhang et al_2021_XRmas.pdf}
}",10.1145/3462204.3481782,,,,x,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,x,,,,,,
163,2021,"Tooba Ahsen, Zi Yi Lim, Aaron L. Gardony, Holly A. Taylor, Jan P de Ruiter, Fahad Dogar",The Effects of Network Outages on User Experience in Augmented Reality Based Remote Collaboration - An Empirical Study,"@article{ahsen2021effects,
  title = {The {{Effects}} of {{Network Outages}} on {{User Experience}} in {{Augmented Reality Based Remote Collaboration}} - {{An Empirical Study}}},
  author = {Ahsen, Tooba and Lim, Zi Yi and Gardony, Aaron L. and Taylor, Holly A. and de Ruiter, Jan P and Dogar, Fahad},
  year = {2021},
  month = oct,
  journal = {Proc. ACM Hum.-Comput. Interact.},
  volume = {5},
  number = {CSCW2},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3476054},
  abstract = {Augmented Reality (AR) applications can enable geographically distant users to collaborate using shared video feeds or interactive 3D holograms, and may be particularly useful in the socially distant context of the Covid-19 pandemic. However, a good user experience is key for their success and could be negatively impacted by network impairments, which are an inevitable occurrence in today's best-effort Internet. In this paper, we present the findings of an empirical user study, aimed at understanding the effects of network outages, on user experience and behavior, in a collaborative AR task. We highlight how network outages affected users in different ways depending on their role in the collaborative task, and how giving users explicit information about poor network conditions helped them deal with some of these negative effects. Furthermore, we report the strategies that users themselves adopted, to deal with outages, such as batching instructions, or shifting to a different spatial referencing style when communicating with their partners. Lastly, based on our findings, we present some design implications for future remote-collaborative AR applications.},
  keywords = {augmented reality,common ground,distributed collaboration,mixed reality,network impairments,network outages,Read MS,remote collaboration,shared holograms,spatial referencing,user experience},
  file = {D:\_Zotero\storage\8K3SE5TA\Ahsen et al_2021_The Effects of Network Outages on User Experience in Augmented Reality Based.pdf}
}",10.1145/3476054,x,,,,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,x,,,,,x,,,,,,
166,2021,"Yongjae Lee, Byounghyun Yoo, Soo-Hong Lee",Sharing Ambient Objects Using Real-time Point Cloud Streaming in Web-based XR Remote Collaboration,"@inproceedings{lee2021sharing,
  title = {Sharing {{Ambient Objects Using Real-time Point Cloud Streaming}} in {{Web-based XR Remote Collaboration}}},
  booktitle = {Proceedings of the 26th {{International Conference}} on {{3D Web Technology}}},
  author = {Lee, Yongjae and Yoo, Byounghyun and Lee, Soo-Hong},
  year = {2021},
  series = {{{Web3D}} '21},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3485444.3487642},
  abstract = {Extended reality (XR) collaboration enables collaboration between physical and virtual spaces. Recent XR collaboration studies have focused on sharing and understanding the overall situation of the objects of interest (OOIs) and its surrounding ambient objects (AOs) rather than simply recognizing the existence of OOI. The sharing of the overall situation is achieved using three-dimensional (3D) models that replicate objects existing in the physical workspace. There are two approaches for creating the models: pre-reconstruction and real-time reconstruction. The pre-reconstruction approach takes considerable time to create polygon meshes precisely, and the real-time reconstruction approach requires a considerable time to install numerous sensors to perform accurate 3D scanning. In addition, these approaches are difficult to be used on the collaboration in a location beyond the reconstructed space, making them impractical to an actual XR collaboration. The approach proposed in this study separates the objects that form the physical workspace into OOI and AO, models only the OOI as a polygon mesh in advance, and reconstructs the AO into a point cloud using light detection and ranging technology for collaboration. The reconstructed point cloud is shared with remote collaborators through WebRTC, a web-based peer-to-peer networking technology with low latency. Each remote collaborator collects the delivered point cloud to form a virtual space, so that they can intuitively understand the situation at a local site. Because our approach does not create polygon meshes for all objects existing at the local site, we can save time to prepare for collaboration. In addition, we can improve the practicality of XR collaboration by eliminating the need to install numerous sensors at the local site. We introduce a prototype and an example scenario to demonstrate the practicality of our approach.},
  isbn = {978-1-4503-9095-8},
  keywords = {Augmented reality,Extended reality,Real-time point cloud streaming,Remote XR collaboration,Virtual reality,Web-based XR,XR},
  file = {D:\_Zotero\storage\B98V2JKA\Lee et al_2021_Sharing Ambient Objects Using Real-time Point Cloud Streaming in Web-based XR.pdf}
}",10.1145/3485444.3487642,x,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,x,,x,,,,,,x,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
170,2022,"Ana Villanueva, Zhengzhe Zhu, Ziyi Liu, Feiyang Wang, Subramanian Chidambaram, Karthik Ramani",ColabAR: A Toolkit for Remote Collaboration in Tangible Augmented Reality Laboratories,"@article{villanueva2022colabar,
  title = {{{ColabAR}}: {{A Toolkit}} for {{Remote Collaboration}} in {{Tangible Augmented Reality Laboratories}}},
  author = {Villanueva, Ana and Zhu, Zhengzhe and Liu, Ziyi and Wang, Feiyang and Chidambaram, Subramanian and Ramani, Karthik},
  year = {2022},
  month = apr,
  journal = {Proc. ACM Hum.-Comput. Interact.},
  volume = {6},
  number = {CSCW1},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3512928},
  abstract = {Current times are accelerating new technologies to provide high-quality education for remote collaboration, as well as hands-on learning. This is particularly important in the case of laboratory-based classes, which play an essential role in STEM education. In this paper, we introduce ColabAR, a toolkit that uses physical proxies to manipulate virtual objects in Tangible Augmented Reality (TAR) laboratories. ColabAR introduces haptic-based customizable interaction techniques to promote remote collaboration between students. Our toolkit provides hardware and software that enable haptic feedback to improve user experience and promote collaboration during learning. Also, we present the architecture of our cloud platform for haptic interaction that supports information sharing between students in a TAR laboratory. We performed two user studies (N=40) to test the effect of our toolkit in enriching local and remote collaborative experiences. Finally, we demonstrated that our TAR laboratory enables students' performance (i.e., lab completion rate, lab scores) to be similar to their performance in an in-person laboratory.},
  keywords = {augmented reality,collaboration,distance,education,haptics,laboratory,learning,Read MS,remote,STEM,tangibles},
  file = {D:\_Zotero\storage\GR87WL6G\Villanueva et al_2022_ColabAR.pdf}
}",10.1145/3512928,,,x,x,,x,,,,,,,x,,,,x,,,,,x,,x,,,,,,x,,,,,,,,,,x,,,,,,,x,,x,,,x,x,x,x,,,,,,,x,,,,,x,,,,,,,x,,,x,,,x,x,,,,x,,
178,2022,"Keru Wang, Zhu Wang, Karl Rosenberg, Zhenyi He, Dong Woo Yoo, Un Joo Christopher, Ken Perlin",Mixed Reality Collaboration for Complementary Working Styles,"@inproceedings{wang2022mixed,
  title = {Mixed {{Reality Collaboration}} for {{Complementary Working Styles}}},
  booktitle = {{{ACM SIGGRAPH}} 2022 {{Immersive Pavilion}}},
  author = {Wang, Keru and Wang, Zhu and Rosenberg, Karl and He, Zhenyi and Yoo, Dong Woo and Christopher, Un Joo and Perlin, Ken},
  year = {2022},
  series = {{{SIGGRAPH}} '22},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3532834.3536216},
  abstract = {Our project combines immersive VR, multitouch AR, real-time volumetric capture, motion capture, robotically-actuated tangible interfaces at multiple scales, and live coding, in service of a human-centric way of collaborating. Participants bring their unique talents and preferences to collaboratively tackle complex problems in a shared mixed reality world.},
  isbn = {978-1-4503-9369-0},
  keywords = {Mixed reality,remote collaboration,tangible interface},
  file = {D:\_Zotero\storage\N39KDD3P\Wang et al_2022_Mixed Reality Collaboration for Complementary Working Styles.pdf}
}",10.1145/3532834.3536216,,,,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
183,2023,"Sophie Maria, Helena M. Mentis, Geoffroy Canlorbe, Ignacio Avellino",Supporting Collaborative Discussions In Surgical Teleconsulting Through Augmented Reality Head Mounted Displays,"@inproceedings{maria2023supporting,
  title = {Supporting {{Collaborative Discussions In Surgical Teleconsulting Through Augmented Reality Head Mounted Displays}}},
  booktitle = {Proceedings of the 2023 {{CHI Conference}} on {{Human Factors}} in {{Computing Systems}}},
  author = {Maria, Sophie and Mentis, Helena M. and Canlorbe, Geoffroy and Avellino, Ignacio},
  year = {2023},
  series = {{{CHI}} '23},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3544548.3580714},
  abstract = {Although Augmented Reality (AR) has been touted as the future of surgery, its contribution to distributed collaboration such as in surgical teleconsulting has not been articulated. We propose AR-Head Mounted Displays (AR-HMD) to tackle two previously-identified challenges: operating surgeons needing to view and interact with imaging systems that reside away from the operative field, and, their lack of gesturing tools to point and annotate on the shared images and physical environment. We report on a controlled lab experiment where 12 expert gynecology surgeons perform a tumor localisation task guided by a remote radiologist (confederate) via an AR-HMD. We find that bringing the shared images to the place of work reduces the need for clarifications and provides opportunistic access to information when required, and, that pointing and annotating provides opportunities to further support verbal instruction in deictic communication. Our results inform the design of intraoperative AR-HMD systems for surgical telecollaboration.},
  isbn = {978-1-4503-9421-5},
  keywords = {augmented reality,remote collaboration,teleconsulting},
  file = {D:\_Zotero\storage\M583VX42\Maria et al_2023_Supporting Collaborative Discussions In Surgical Teleconsulting Through.pdf}
}",10.1145/3544548.3580714,x,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,
185,2023,"Ruben Schlagowski, Dariia Nazarenko, Yekta Can, Kunal Gupta, Silvan Mertes, Mark Billinghurst, Elisabeth Andr{\'e}",Wish You Were Here: Mental and Physiological Effects of Remote Music Collaboration in Mixed Reality,"@inproceedings{schlagowski2023wish,
  title = {Wish {{You Were Here}}: {{Mental}} and {{Physiological Effects}} of {{Remote Music Collaboration}} in {{Mixed Reality}}},
  shorttitle = {Wish {{You Were Here}}},
  booktitle = {Proceedings of the 2023 {{CHI Conference}} on {{Human Factors}} in {{Computing Systems}}},
  author = {Schlagowski, Ruben and Nazarenko, Dariia and Can, Yekta and Gupta, Kunal and Mertes, Silvan and Billinghurst, Mark and Andr{\'e}, Elisabeth},
  year = {2023},
  month = apr,
  series = {{{CHI}} '23},
  pages = {1--16},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3544548.3581162},
  urldate = {2023-06-13},
  abstract = {With face-to-face music collaboration being severely limited during the recent pandemic, mixed reality technologies and their potential to provide musicians a feeling of ""being there"" with their musical partner can offer tremendous opportunities. In order to assess this potential, we conducted a laboratory study in which musicians made music together in real-time while simultaneously seeing their jamming partner's mixed reality point cloud via a head-mounted display and compared mental effects such as flow, affect, and co-presence to an audio-only baseline. In addition, we tracked the musicians' physiological signals and evaluated their features during times of self-reported flow. For users jamming in mixed reality, we observed a significant increase in co-presence. Regardless of the condition (mixed reality or audio-only), we observed an increase in positive affect after jamming remotely. Furthermore, we identified heart rate and HF/LF as promising features for classifying the flow state musicians experienced while making music together.},
  isbn = {978-1-4503-9421-5},
  keywords = {AR only,Augmented Reality,Co-Presence,Head-mounted Displays,Mixed Reality,Networked Music Performance,Physiological Signal Processing,Psychophysiology,Remote Collaboration,Social Presence},
  file = {D:\_Zotero\storage\FY4NJNUL\Schlagowski et al. - 2023 - Wish You Were Here Mental and Physiological Effec.pdf}
}",10.1145/3544548.3581162,,,,x,,,,,x,,,,,,,,x,,,,,x,,,,x,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,x,,,,,,,,,,,,,,
186,2023,"Andrew Irlitti, Mesut Latifoglu, Qiushi Zhou, Martin N Reinoso, Thuong Hoang, Eduardo Velloso, Frank Vetere",Volumetric Mixed Reality Telepresence for Real-time Cross Modality Collaboration,"@inproceedings{irlitti2023volumetric,
  title = {Volumetric {{Mixed Reality Telepresence}} for {{Real-time Cross Modality Collaboration}}},
  booktitle = {Proceedings of the 2023 {{CHI Conference}} on {{Human Factors}} in {{Computing Systems}}},
  author = {Irlitti, Andrew and Latifoglu, Mesut and Zhou, Qiushi and Reinoso, Martin N and Hoang, Thuong and Velloso, Eduardo and Vetere, Frank},
  year = {2023},
  month = apr,
  series = {{{CHI}} '23},
  pages = {1--14},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3544548.3581277},
  urldate = {2023-06-13},
  abstract = {Mixed-reality telepresence allows local and remote users feel as if they are present together in the same space. In this paper we report on a mixed-reality volumetric telepresence system that is adaptable, multi-user and cross-modal, i.e. combining augmented and virtual reality technologies with face-to-face interactions. The system extends state-of-art by creating full-body and environmental volumetric renderings in real-time over local enterprise networks. We report findings of an evaluation in a training scenario which was adapted for remote delivery and led by an industry professional. Analysis of interviews and observed behaviours identify varying attitudes towards virtually mediated full-body experiences and highlight the impact of volumetric mixed-reality telepresence to facilitate personal experiences of co-presence and to ground communication with interlocutors.},
  isbn = {978-1-4503-9421-5},
  keywords = {AR only,augmented reality,avatars,collaboration,conversational grounding,Extended reality,Read KLK,telepresence,virtual reality,volumetric capture},
  file = {D:\_Zotero\storage\KL4BFK6A\Irlitti et al. - 2023 - Volumetric Mixed Reality Telepresence for Real-tim.pdf}
}",10.1145/3544548.3581277,x,,,,,,,x,,,,,,,,x,,,,,,,,,x,,,,,,,x,,x,,,x,,,,,,,,,,,,x,,,,,,,x,,x,,x,,,x,,,,,,,,,x,,,,,x,,,,,,,,,,
187,2023,"Mehrad Faridan, Bheesha Kumari, Ryo Suzuki",ChameleonControl: Teleoperating Real Human Surrogates through Mixed Reality Gestural Guidance for Remote Hands-on Classrooms,"@inproceedings{faridan2023chameleoncontrol,
  title = {{{ChameleonControl}}: {{Teleoperating Real Human Surrogates}} through {{Mixed Reality Gestural Guidance}} for {{Remote Hands-on Classrooms}}},
  shorttitle = {{{ChameleonControl}}},
  booktitle = {Proceedings of the 2023 {{CHI Conference}} on {{Human Factors}} in {{Computing Systems}}},
  author = {Faridan, Mehrad and Kumari, Bheesha and Suzuki, Ryo},
  year = {2023},
  month = apr,
  series = {{{CHI}} '23},
  pages = {1--13},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3544548.3581381},
  urldate = {2024-02-02},
  abstract = {We present ChameleonControl, a real-human teleoperation system for scalable remote instruction in hands-on classrooms. In contrast to existing video or AR/VR-based remote hands-on education, ChameleonControl uses a real human as a surrogate of a remote instructor. Building on existing human-based telepresence approaches, we contribute a novel method to teleoperate a human surrogate through synchronized mixed reality hand gestural navigation and verbal communication. By overlaying the remote instructor's virtual hands in the local user's MR view, the remote instructor can guide and control the local user as if they were physically present. This allows the local user/surrogate to synchronize their hand movements and gestures with the remote instructor, effectively teleoperating a real human. We deploy and evaluate our system in classrooms of physiotherapy training, as well as other application domains such as mechanical assembly, sign language and cooking lessons. The study results confirm that our approach can increase engagement and the sense of co-presence, showing potential for the future of remote hands-on classrooms.},
  isbn = {978-1-4503-9421-5},
  keywords = {AR only,Hands-on Training,Human Surrogates,Mixed Reality,Remote Collaboration,Remote Guidance,Telepresence,Visual Cue},
  file = {D:\_Zotero\storage\K38VDTBL\Faridan et al. - 2023 - ChameleonControl Teleoperating Real Human Surroga.pdf}
}",10.1145/3544548.3581381,x,,,,x,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,x,,,,,,,,,,,,,,,,,,x,,
189,2023,"Jens Emil Sloth Gr{\o}nb{\ae}k, Ken Pfeuffer, Eduardo Velloso, Morten Astrup, Melanie Isabel S{\o}nderk{\ae}r Pedersen, Martin Kj{\ae}r, Germ{\'a}n Leiva, Hans Gellersen",Partially Blended Realities: Aligning Dissimilar Spaces for Distributed Mixed Reality Meetings,"@inproceedings{gronbaek2023partially,
  title = {Partially {{Blended Realities}}: {{Aligning Dissimilar Spaces}} for {{Distributed Mixed Reality Meetings}}},
  booktitle = {Proceedings of the 2023 {{CHI Conference}} on {{Human Factors}} in {{Computing Systems}}},
  author = {Gr{\o}nb{\ae}k, Jens Emil Sloth and Pfeuffer, Ken and Velloso, Eduardo and Astrup, Morten and Pedersen, Melanie Isabel S{\o}nderk{\ae}r and Kj{\ae}r, Martin and Leiva, Germ{\'a}n and Gellersen, Hans},
  year = {2023},
  series = {{{CHI}} '23},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3544548.3581515},
  abstract = {Mixed Reality allows for distributed meetings where people's local physical spaces are virtually aligned into blended interaction spaces. In many cases, people's physical rooms are dissimilar, making it challenging to design a coherent blended space. We introduce the concept of Partially Blended Realities (PBR) --- using Mixed Reality to support remote collaborators in partially aligning their physical spaces. As physical surfaces are central in collaborative work, PBR supports users in transitioning between different configurations of tables and whiteboard surfaces. In this paper, we 1) describe the design space of PBR, 2) present RealityBlender to explore interaction techniques for how users may configure and transition between blended spaces, and 3) provide insights from a study on how users experience transitions in a remote collaboration task. With this work, we demonstrate new potential for using partial solutions to tackle the alignment problem of dissimilar spaces in distributed Mixed Reality meetings.},
  isbn = {978-1-4503-9421-5},
  keywords = {augmented and virtual reality,blended realities,mixed reality,proxemic transitions,remote collaboration},
  file = {D:\_Zotero\storage\HA8RD9RT\Grønbæk et al_2023_Partially Blended Realities.pdf}
}",10.1145/3544548.3581515,,,x,x,,,,,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,2022,"Allison Jing, Kieran May, Brandon Matthews, Gun Lee, Mark Billinghurst",The Impact of Sharing Gaze Behaviours in Collaborative Mixed Reality,"@article{jing2022impact,
  title = {The {{Impact}} of {{Sharing Gaze Behaviours}} in {{Collaborative Mixed Reality}}},
  author = {Jing, Allison and May, Kieran and Matthews, Brandon and Lee, Gun and Billinghurst, Mark},
  year = {2022},
  month = nov,
  journal = {Proc. ACM Hum.-Comput. Interact.},
  volume = {6},
  number = {CSCW2},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3555564},
  abstract = {In a remote collaboration involving a physical task, visualising gaze behaviours may compensate for other unavailable communication channels. In this paper, we report on a 360{$^\circ$} panoramic Mixed Reality (MR) remote collaboration system that shares gaze behaviour visualisations between a local user in Augmented Reality and a remote collaborator in Virtual Reality. We conducted two user studies to evaluate the design of MR gaze interfaces and the effect of gaze behaviour (on/off) and gaze style (bi-/uni-directional). The results indicate that gaze visualisations amplify meaningful joint attention and improve co-presence compared to a no gaze condition. Gaze behaviour visualisations enable communication to be less verbally complex therefore lowering collaborators' cognitive load while improving mutual understanding. Users felt that bi-directional behaviour visualisation, showing both collaborator's gaze state, was the preferred condition since it enabled easy identification of shared interests and task progress.},
  keywords = {gaze visualization,human-computer interaction,mixed reality remote collaboration},
  file = {D:\_Zotero\storage\JH5UCSX4\Jing et al_2022_The Impact of Sharing Gaze Behaviours in Collaborative Mixed Reality.pdf}
}",10.1145/3555564,,,,x,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,x,,,,,,,,,,,,,,
195,2022,"Arthur Fages, C{\'e}dric Fleury, Theophanis Tsandilas",Understanding Multi-View Collaboration between Augmented Reality and Remote Desktop Users,"@article{fages2022understanding,
  title = {Understanding {{Multi-View Collaboration}} between {{Augmented Reality}} and {{Remote Desktop Users}}},
  author = {Fages, Arthur and Fleury, C{\'e}dric and Tsandilas, Theophanis},
  year = {2022},
  month = nov,
  journal = {Proc. ACM Hum.-Comput. Interact.},
  volume = {6},
  number = {CSCW2},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3555607},
  abstract = {Establishing an effective collaboration between augmented-reality (AR) and remote desktop users is a challenge because collaborators do not share a common physical space and equipment. Yet, such asymmetrical collaboration configurations are common today for many design tasks, due to the geographical distance of people or unusual circumstances such as a lockdown. We conducted a first study to investigate trade-offs of three remote representations of an AR workspace: a fully virtual representation, a first-person view, and an external view. Building on our findings, we designed ARgus, a multi-view video-mediated communication system that combines these representations through interactive tools for navigation, previewing, pointing, and annotation. We report on a second user study that observed how 12 participants used ARgus to provide remote instructions for an AR furniture arrangement task. Participants extensively used its view transition tools, while the system reduced their reliance on verbal instructions.},
  keywords = {augmented reality,remote collaboration,video-mediated communication.},
  file = {D:\_Zotero\storage\L5GIZ25X\Fages et al_2022_Understanding Multi-View Collaboration between Augmented Reality and Remote.pdf}
}",10.1145/3555607,,x,,,,,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,x,x,x,,,,,,x,x,,,,x,x,,,,,,,,,,,,x,,,,,,,x,x,,,,,,,,,,
197,2022,"Nels Numan, Anthony Steed",Exploring User Behaviour in Asymmetric Collaborative Mixed Reality,"@inproceedings{numan2022exploring,
  title = {Exploring {{User Behaviour}} in {{Asymmetric Collaborative Mixed Reality}}},
  booktitle = {Proceedings of the 28th {{ACM Symposium}} on {{Virtual Reality Software}} and {{Technology}}},
  author = {Numan, Nels and Steed, Anthony},
  year = {2022},
  month = nov,
  series = {{{VRST}} '22},
  pages = {1--11},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3562939.3565630},
  urldate = {2024-07-31},
  abstract = {A common issue for collaborative mixed reality is the asymmetry of interaction with the shared virtual environment. For example, an augmented reality (AR) user might use one type of head-mounted display (HMD) in a physical environment, while a virtual reality (VR) user might wear a different type of HMD and see a virtual model of that physical environment. To explore the effects of such asymmetric interfaces on collaboration we present a study that investigates the behaviour of dyads performing a word puzzle task where one uses AR and the other VR. We examined the collaborative process through questionnaires and behavioural measures based on positional and audio data. We identified relationships between presence and co-presence, accord and co-presence, leadership and talkativeness, head rotation velocity and leadership, and head rotation velocity and talkativeness. We did not find that AR or VR biased subjective responses, though there were interesting behavioural differences: AR users spoke more words, AR users had a higher median head rotation velocity, and VR users travelled further.},
  isbn = {978-1-4503-9889-3},
  file = {D:\_Zotero\storage\C8A4PPXG\Numan_Steed_2022_Exploring User Behaviour in Asymmetric Collaborative Mixed Reality.pdf}
}",10.1145/3562939.3565630,,,,x,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,x,,,,,,x,,,,,x,,,,x,,,,,,x,x,,,,x,,
